bin,FULL,IUCN,THREAT,THREATdivFULL,THREATdivIUCN
5,10,0,0,0,NA
10,147,37,13,0.088435374,0.351351351
15,73,27,5,0.068493151,0.185185185
20,23,16,4,0.173913043,0.25
25,16,9,2,0.125,0.222222222
30,12,8,2,0.166666667,0.25
35,8,2,0,0,0
40,3,2,0,0,0
