bin,,IUCNrisk,FULLrisk
5,0,0,0
10,"EN X4, VUX9",0.028813559,0.005414013
15,VUX5,0.008474576,0.001592357
20,VUX4,0.006779661,0.001273885
25,VUX2,0.003389831,0.000636943
30,"CR, VUX1",0.006779661,0.001273885
35,0,0,0
40,0,0,0
