status,bin
VU,x06
VU,x06
EN,x11
VU,x11
VU,x11
VU,x11
EN,x11
EN,x11
VU,x11
VU,x11
VU,x11
VU,x11
VU,x11
VU,x11
VU,x16
VU,x16
VU,x16
VU,x21
VU,x21
VU,x31
CR,x31
