stockid,areaid,stocklong,region
CSALMGOODNEWSR,USA-AKSTATE-GOODNEWSR,Chum Salmon Goodnews River,US Alaska (Pacific Salmon)
CSALMGRAYH,USA-WASTATE-GRAYH,Chum Salmon Grays Harbour,US West Coast (Pacific Salmon)
CSALMHOODC,USA-WASTATE-HOODC,Chum Salmon Hood Canal,US West Coast (Pacific Salmon)
CSALMHSCH,Japan-FAJ-HSCH,Chum Salmon Japan High Seas catch chum hatchery,Russia Japan (Pacific Salmon)
CSALMHSCW,Japan-FAJ-HSCW,Chum Salmon Japan High Seas catch chum wild,Russia Japan (Pacific Salmon)
CSALMISCFPM,Canada-DFO-ISCFPM,Chum Salmon Inner South Coast (Fraser plus Mainland),Canada West Coast (Pacific Salmon)
CSALMIZEMBEKMNWD,USA-AKSTATE-IZEMBEKMNWD,"Chum Salmon Izembek, Moffet (Northwestern District)",US Alaska (Pacific Salmon)
CSALMJCCH,Japan-FAJ-JCCH,Chum Salmon Japan coastal chum hatchery,Russia Japan (Pacific Salmon)
CSALMJDFS,USA-WASTATE-JDFS,Chum Salmon Juan de Fuca Straits,US West Coast (Pacific Salmon)
CSALMKADASHANC,USA-AKSTATE-KADASHANC,Chum Salmon Kadashan Creek,US Alaska (Pacific Salmon)
CSALMKANEKTOKR,USA-AKSTATE-KANEKTOKR,Chum Salmon Kanektok River,US Alaska (Pacific Salmon)
CSALMKOTZEBUES,USA-AKSTATE-KOTZEBUES,Chum Salmon Kotzebue Sound,US Alaska (Pacific Salmon)
CSALMKTRNS,USA-AKSTATE-KTRNS,Chum Salmon Kwiniuk and Tubutulik Rivers (Norton Sound),US Alaska (Pacific Salmon)
CSALMKUSKOKWIM,USA-AKSTATE-KUSKOKWIM,Chum Salmon Kuskokwim,US Alaska (Pacific Salmon)
CSALMMNRSD,USA-AKSTATE-MNRSD,Chum Salmon McNeil River (and Sub-District),US Alaska (Pacific Salmon)
CSALMNELSONL,USA-AKSTATE-NELSONL,Chum Salmon NelsonLagoon,US Alaska (Pacific Salmon)
CSALMNORTONB,USA-AKSTATE-NORTONB,Chum Salmon Norton Bay,US Alaska (Pacific Salmon)
CSALMNORTONSD1,USA-AKSTATE-NORTONSD1,Chum Salmon Norton Sound District 1,US Alaska (Pacific Salmon)
CSALMNSR,USA-WASTATE-NSR,Chum Salmon Nooksack and Samish Rivers,US West Coast (Pacific Salmon)
CSALMNUSHAGAKD,USA-AKSTATE-NUSHAGAKD,Chum Salmon Nushagak District,US Alaska (Pacific Salmon)
CSALMOKCH,Russia-TINRO-OKCH,Chum Salmon Okhotsk chum hatchery,Russia Japan (Pacific Salmon)
CSALMOKCW,Russia-TINRO-OKCW,Chum Salmon Okhotsk chum wild,Russia Japan (Pacific Salmon)
CSALMPDIC,USA-AKSTATE-PDIC,Chum Salmon Port Dick and Island Creek,US Alaska (Pacific Salmon)
CSALMPERRYVILLED,USA-AKSTATE-PERRYVILLED,Chum Salmon Perryville District,US Alaska (Pacific Salmon)
CSALMPGRAHAM,USA-AKSTATE-PGRAHAM,Chum Salmon Port Graham,US Alaska (Pacific Salmon)
CSALMPHEIDEN,USA-AKSTATE-PHEIDEN,Chum Salmon PortHeiden,US Alaska (Pacific Salmon)
CSALMPMOLLERBT,USA-AKSTATE-PMOLLERBT,Chum Salmon PMollerBt,US Alaska (Pacific Salmon)
CSALMPRIMCH,Russia-TINRO-PRIMCH,Chum Salmon Primorye chum hatchery,Russia Japan (Pacific Salmon)
CSALMPRIMCW,Russia-TINRO-PRIMCW,Chum Salmon Primorye chum wild,Russia Japan (Pacific Salmon)
CSALMROCKYR,USA-AKSTATE-ROCKYR,Chum Salmon Rocky River,US Alaska (Pacific Salmon)
CSALMSHAKTOOLIK,USA-AKSTATE-SHAKTOOLIK,Chum Salmon Shaktoolik,US Alaska (Pacific Salmon)
CSALMSKAGR,USA-WASTATE-SKAGR,Chum Salmon Skagit River,US West Coast (Pacific Salmon)
CSALMSSOUNDFR,USA-WASTATE-SSOUNDFR,Chum Salmon South Sound Fall Run,US West Coast (Pacific Salmon)
CSALMSSOUNDSR,USA-WASTATE-SSOUNDSR,Chum Salmon South Sound Summer Run,US West Coast (Pacific Salmon)
