stockid,areaid,stocklong,region
BLINGVb-VI-VII,multinational-ICES-Vb-VI-VII,Blue ling Vb-VI-VII,Europe non EU
BLKMARLINIO,multinational-IOTC-IO,Black marlin Indian Ocean,Indian Ocean
BLRAYIVa-VI,multinational-ICES-IVa-VI,Blonde ray IVa and VI,European Union
BLRAYIVc-VIId,multinational-ICES-IVc-VIId,Blonde ray IVc and VIId,European Union
BLRAYIXa,multinational-ICES-IXa,Blonde ray Portugese Waters -East,European Union
BLRAYVIIafg,multinational-ICES-VIIafg,Blonde ray ICES VIIafg,European Union
BLRAYVIIe,multinational-ICES-VIIe,Blonde ray Western English Channel,European Union
BLSHARNPAC,multinational-ISC-NPAC,Blue shark North Pacific,Pacific Ocean
BLTILESATLC,USA-NMFS-SATLC,Blueline tilefish Southern Atlantic coast,US Southeast and Gulf
BLUEFISHATLC,USA-NMFS-ATLC,Bluefish Atlantic Coast,US East Coast
BLUEROCKCAL,USA-NMFS-CAL,Blue rockfish California,US West Coast
BMACKECS,Japan-FAJ-ECS,Spotted mackerel East China Sea,Russia Japan
BMACKPJPN,Japan-FAJ-PJPN,Spotted mackerel Pacific Coast of Japan,Russia Japan
BMARLINATL,multinational-ICCAT-ATL,Blue marlin Atlantic,Atlantic Ocean
BMARLINIO,multinational-IOTC-IO,Indo-Pacific blue marlin Indian Ocean,Indian Ocean
BMARLINPAC,multinational-ISC-PAC,Blue marlin Pacific Ocean,Pacific Ocean
BMDOGVIII-IXa,multinational-ICES-VIII-IXa,Blackmouth dogfish VIII and IXa,European Union
BMDOGVI-VII,multinational-ICES-VI-VII,Blackmouth dogfish ICES VI-VII,European Union
BNKROCKCAL,USA-NMFS-CAL,Bank Rockfish California,US West Coast
BNOSESHARATL,USA-NMFS-ATL,Blacknose shark Atlantic,US Southeast and Gulf
BNSNZ,New Zealand-MFish-NZ,Bluenose New Zealand,New Zealand
BOARVI-VIII,multinational-ICES-VI-VIII,Boarfish VI and VIII,European Union
BOCACCBCW,Canada-DFO-BCW,Bocaccio British Columbia Waters,Canada West Coast
BOCACCSPCOAST,USA-NMFS-SPCOAST,Bocaccio Southern Pacific Coast,US West Coast
BONGAWA,multinational-FAO-WA,Bonga West Africa,West Africa
BRILL2232,multinational-ICES-22-32,Brill Baltic Areas 22-32,European Union
BRILLIIIa-IV-VIId,multinational-ICES-IIIa-IV-VIId,"Brill IIIa, VIId and North Sea",European Union
BRMSOJ,Japan-FAJ-SOJ,Yellow sea bream Sea of Japan,Russia Japan
BRMSPPWASG1,multinational-FAO-SG1,Seabream West Africa Subgroup 1,West Africa
BRMSPPWASG2,multinational-FAO-SG2,Seabream West Africa Subgroup 2,West Africa
BRMSPPWASG3,multinational-FAO-SG3,Seabream West Africa Subgroup 3,West Africa
BRNROCKPCOAST,USA-NMFS-PCOAST,Brown rockfish Pacific Coast,US West Coast
BRNSHRIMPGM,USA-NMFS-GM,Brown shrimp Gulf of Mexico,US Southeast and Gulf
BSBASSMATLC,USA-NMFS-MATLC,Black sea bass Mid-Atlantic Coast,US East Coast
BSBASSSATL,USA-NMFS-SATL,Black sea bass South Atlantic,US Southeast and Gulf
BSCRAPERSOJECS,Japan-FAJ-SOJECS,Black scraper Sea of Japan and East China Sea,Russia Japan
BSKAT5YZSNE,USA-NMFS-5YZSNE,Barndoor skate Gulf of Marine / Georges Bank-Southern New England,US East Coast
BSKATCANATL,Canada-DFO-ATL,Barndoor skate Canadian Atlantic Ocean,Canada East Coast
BSKSHARNEATL,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Basking shark Northeast Atlantic,European Union
BSQLOBSTERCH,Chile-SUBPESCA-CH-CS,Blue Squat Lobster Chilean,South America
BSQLOBSTERCSCH,Chile-SUBPESCA-CH-CS,Yellow squat lobster Central-Southern Chile,South America
BSQLOBSTERNCH,Chile-SUBPESCA-CH-N,Yellow squat lobster Northern Chile,South America
BTIPSHARATL,USA-NMFS-ATL,Blacktip shark Atlantic,US Southeast and Gulf
BTIPSHARGM,USA-NMFS-GM,Blacktip shark Gulf of Mexico,US Southeast and Gulf
BTSHRIMPNAUST,Australia-AFMA-NAUST,Northern Australia brown tiger shrimp,Australia
BUTTERGOMCHATT,USA-NMFS-5YCHATT,Atlantic butterfish Gulf of Maine / Cape Hatteras,US East Coast
BWHITMEDGSA1,multinational-GFCM-GSA1,Blue whiting Northern Alboran Sea,Mediterranean-Black Sea
BWHITMEDGSA6,multinational-GFCM-GSA6,Blue whiting Northern Spain,Mediterranean-Black Sea
BWHITMEDGSA9,multinational-GFCM-GSA9,Blue whiting Ligurian and North Tyrrhenian Sea,Mediterranean-Black Sea
BWHITNEA,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Blue Whiting Northeast Atlantic,European Union
BZCRABSOJ,Japan-FAJ-SOJ,Beni-zuwai crab Sea of Japan,Russia Japan
CABEZNCAL,USA-NMFS-NCAL,Cabezon Northern California,US West Coast
CABEZORECOAST,USA-NMFS-ORECOAST,Cabezon Oregon Coast,US West Coast
CABEZSCAL,USA-NMFS-SCAL,Cabezon Southern California,US West Coast
CALSCORPSCAL,USA-NMFS-SCAL,California scorpionfish Southern California,US West Coast
CAPE4RST,Canada-DFO-4RST,Capelin Gulf of St. Lawrence,Canada East Coast
