stockid,latinname,stocklong,IUCN_status,IUCN_trend,IUCN_codified,countries,region,cost_value,MSYbest,lnMSY,final_value,assessid
ALBAIO,Thunnus alalunga  ,Albacore tuna Indian Ocean,NT,decreasing,3,multinational,Indian Ocean,2.05607134,38800,17.4739308,35.92764833,
ALBAMED,Thunnus alalunga  ,Albacore tuna Mediterranean,NT,decreasing,3,multinational,Mediterranean Sea,1.527982791,28900,17.17935215,26.24975445,ICCAT-ALBAMED-1951-2016-PONS
ALBANATL,Thunnus alalunga  ,Albacore tuna North Atlantic,NT,decreasing,3,multinational,N Atlantic,1.684328499,36650,17.41692399,29.33582144,ICCAT-ALBANATL-1930-2011-SISIMP2016
ALBANPAC,Thunnus alalunga  ,Albacore tuna North Pacific,NT,decreasing,3,multinational,North Pacific,1.272890706,105571,18.47489427,23.5165212,
ALBASATL,Thunnus alalunga  ,Albacore tuna South Atlantic,NT,decreasing,3,multinational,S Atlantic,1.792744301,25147.5,17.04026905,30.54884522,ICCAT-ALBASATL-1950-2015-PONS
ALBASPAC,Thunnus alalunga  ,Albacore tuna South Pacific Ocean,NT,decreasing,3,multinational,S Pacific,1.011341647,76800,18.1567152,18.36264225,SPC-ALBASPAC-1952-2015-PONS
ANCHIXa,Engraulis encrasicolus,Anchovy Portugese Waters -East,LC,decreasing,2,multinational,European Union,2.038476184,NA,NA,NA,
ANCHMEDGSA1,Engraulis encrasicolus,Anchovy Northern Alboran Sea,LC,decreasing,2,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,
ANCHMEDGSA16,Engraulis encrasicolus,Anchovy South of Sicily,LC,decreasing,2,multinational,S of Sicily,2.156761822,2359,14.67374836,31.64778025,STECF-ANCHMEDGSA16-2004-2011-OSIO
ANCHMEDGSA17-18,Engraulis encrasicolus,Anchovy Adriatic Sea,LC,decreasing,2,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,
ANCHMEDGSA29,Engraulis encrasicolus,Anchovy Black Sea,LC,decreasing,2,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,
ANCHMEDGSA6,Engraulis encrasicolus,Anchovy Northern Spain,LC,decreasing,2,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,
ANCHMEDGSA9,Engraulis encrasicolus,Anchovy Ligurian and North Tyrrhenian Sea,LC,decreasing,2,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,
ANCHOBAYB,Engraulis encrasicolus,Anchovy ICES VIII,LC,decreasing,2,multinational,European Union,2.038476184,NA,NA,NA,
ANCHOSA,Engraulis encrasicolus,Anchovy South Africa,LC,decreasing,2,South Africa,South Africa,1.91096113,NA,NA,NA,
ARGANCHONARG,Engraulis anchoita,Argentine anchoita Northern Argentina,NT,decreasing,3,Argentina,Argentina,1.349326297,222163,19.2189219,25.93259673,INIDEP-ARGANCHONARG-1989-2007-Parma
ARGANCHOSARG,Engraulis anchoita,Argentine anchoita Southern Argentina,NT,decreasing,3,Argentina,Argentina,1.349326297,454000,19.93360776,26.89694114,INIDEP-ARGANCHOSARG-1989-2015-BURATTI
ATHAL5YZ,Hippoglossus hippoglossus ,Atlantic Halibut NAFO-5YZ,EN,unspecified,5,USA,USA,0.895502963,3500,15.06827353,13.49368359,NEFSC-ATHAL5YZ-1800-2007-COL
BIGEYEATL,Thunnus obesus ,Bigeye tuna Atlantic,VU,decreasing,4,multinational,Atlantic,1.749116527,92000,18.33729914,32.07407298,ICCAT-BIGEYEATL-1950-2010-CHING
BIGEYECWPAC,Thunnus obesus ,Bigeye tuna Central Western Pacific,VU,decreasing,4,multinational,CW Pacific,1.007149874,108520,18.50244505,18.6347352,SPC-BIGEYECWPAC-1950-2015-PONS
BIGEYEEPAC,Thunnus obesus ,Bigeye tuna Eastern Pacific,VU,decreasing,4,multinational,E Pacific,1.105578368,106201,18.48084408,20.43202144,IATTC-BIGEYEEPAC-1954-2012-PONS
BKCDLFENI,Epigonus telescopus,Black cardinalfish East coast of North Island,LC,unknown,2,New Zealand,New Zealand,1.048024352,666,13.40904495,14.05300564,NIWA-BKCDLFENI-1923-2009-CORDUE
BMARLINATL,Makaira nigricans,Blue marlin Atlantic,VU,decreasing,4,multinational,Atlantic Ocean,1.749116527,2000,14.50865774,25.37733303,
BLKMARLINIO,Istiompax indica,Black marlin Indian Ocean,DD,unknown,1,multinational,Indian Ocean,1.927864876,8605,15.96785399,30.78386485,IOTC-BLKMARLINIO-1950-2014-PONS
